#The data is: Date,Time,Latitude,Longitude,T,ROW,DIR,SPD
2008-10-31, 14:00:00,46.450,95.211,1.0,43.0,350.0,1.5
2008-10-31, 14:00:00,43.683,93.367,5.0,43.0,330.0,1.5
2008-10-31, 14:00:00,46.550,93.683,1.0,43.0,0.0,0.0
2008-10-31, 14:00:00,45.150,93.217,7.0,43.0,360.0,3.1
2008-10-31, 14:00:00,45.228,96.004,1.0,43.0,340.0,2.1
2008-10-31, 14:00:00,43.667,92.933,6.0,43.0,0.0,0.0
2008-10-31, 14:00:00,45.869,95.394,6.1,43.0,30.0,4.1
2008-10-31, 14:00:00,45.317,95.650,0.01,43.0,10.0,2.6
2008-10-31, 14:00:00,47.200,91.400,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,46.405,94.131,4.4,43.0,20.0,1.5
2008-10-31, 14:00:00,45.567,93.267,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,45.159,93.843,7.4,43.0,350.0,3.1
2008-10-31, 14:00:00,46.700,92.500,4.0,43.0,340.0,4.6
2008-10-31, 14:00:00,46.843,92.226,4.4,43.0,350.0,4.1
2008-10-31, 14:00:00,46.833,95.883,2.0,43.0,320.0,1.5
2008-10-31, 14:00:00,43.987,95.782,6.0,43.0,360.0,3.6
2008-10-31, 14:00:00,44.986,96.178,3.0,43.0,330.0,3.6
2008-10-31, 14:00:00,46.722,92.043,8.0,43.0,10.0,4.6
2008-10-31, 14:00:00,45.767,96.533,3.0,43.0,290.0,1.5
2008-10-31, 14:00:00,44.333,93.317,7.0,43.0,0.0,0.0
2008-10-31, 14:00:00,44.832,93.470,9.4,43.0,20.0,4.6
2008-10-31, 14:00:00,46.283,96.150,2.0,43.0,360.0,1.5
2008-10-31, 14:00:00,43.677,92.180,8.1,43.0,0.0,0.0
2008-10-31, 14:00:00,43.650,94.417,6.0,43.0,350.0,3.6
2008-10-31, 14:00:00,44.753,95.556,3.3,43.0,310.0,2.6
2008-10-31, 14:00:00,45.650,95.317,6.0,43.0,30.0,4.1
2008-10-31, 14:00:00,47.217,93.517,3.0,43.0,340.0,1.5
2008-10-31, 14:00:00,44.756,94.081,7.7,43.0,360.0,3.1
2008-10-31, 14:00:00,44.867,94.383,9.0,43.0,10.0,6.2
2008-10-31, 14:00:00,47.387,92.839,4.4,43.0,350.0,2.1
2008-10-31, 14:00:00,46.619,93.310,3.0,43.0,340.0,2.6
2008-10-31, 14:00:00,46.839,96.663,0.01,43.0,10.0,1.5
2008-10-31, 14:00:00,45.886,93.272,7.0,43.0,360.0,2.1
2008-10-31, 14:00:00,43.986,94.558,5.0,43.0,310.0,1.5
2008-10-31, 14:00:00,45.097,94.507,6.0,43.0,10.0,2.1
2008-10-31, 14:00:00,44.628,93.228,8.0,43.0,350.0,4.1
2008-10-31, 14:00:00,45.950,94.350,5.0,43.0,0.0,0.0
2008-10-31, 14:00:00,43.621,96.216,6.0,43.0,30.0,3.1
2008-10-31, 14:00:00,45.236,93.986,6.0,43.0,360.0,3.1
2008-10-31, 14:00:00,45.062,93.351,7.8,43.0,350.0,3.6
