,,,Dec 29-Jan 4,Jan 5-Jan 11,Jan 12-Jan 18,Jan 19-Jan 25,Jan 26-Feb 1,Feb 2-Feb 8,Feb 9-Feb 15,Feb 16-Feb 22,Feb 23-Mar 1,Mar 2-Mar 8,Mar 9-Mar 15,Mar 16-Mar 22,Mar 23-Mar 29,Mar 30-Apr 5,Apr 6-Apr 12,Apr 13-Apr 19,Apr 20-Apr 26
State,Local Govt Areas,Population,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate ,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate,Attack Rate
Katsina,Kurfi,128484.00,,5.45,2.33,10.12,3.89,19.46,35.80,,21.79,,,6.23,1.56,,8.56,4.67,
Katsina,Kusada,108472.00,,,,,11.98,17.52,8.30,3.69,18.44,,9.22,56.24,56.24,32.27,6.45,,
Katsina,Maiaduwa,219833.00,,1.36,3.64,,,,,2.27,3.46,,5.46,7.28,15.47,5.91,14.10,,
Katsina,Malunfashi,199882.00,1.50,,,,7.50,13.01,18.01,29.02,23.01,,53.03,56.03,48.53,,61.04,,
Katsina,Mani,193376.00,,,,,,,7.24,3.10,2.07,,,3.10,,12.93,,4.65,
Katsina,Mashi,189188.00,,,,,3.17,,,,1.59,,7.93,,6.34,13.74,8.99,7.93,3.70
Katsina,Matazu,125019.00,,,1.59,6.35,,5.55,12.70,,15.87,3.97,24.60,,68.24,49.99,32.53,,
Katsina,Musawa,187637.00,,,3.20,4.80,1.60,21.32,18.65,,51.16,,27.18,62.35,33.04,17.05,9.59,10.13,
Katsina,Rimi,168000.00,,,,,,4.76,8.33,8.33,4.76,8.33,33.93,57.14,52.38,51.79,38.69,19.64,20.24
Katsina,Sabuwa,200820.00,,,,,,,,,,0.67,16.14,14.80,18.16,,,,
Katsina,Safana,200820.00,,,2.99,2.99,1.49,,1.00,1.49,1.99,5.98,3.49,29.38,15.44,22.91,17.43,7.97,13.44
Katsina,Sandamu,150017.00,1.33,2.67,7.33,10.00,16.66,,,,35.33,22.66,,5.33,3.33,,,,
Katsina,Zango,169092.00,,,,,,,,9.46,20.11,,24.84,3.55,,,,,
Kebbi,Aliero,72301.00,,,,,,,,4.15,11.06,,,,,,,,
Kebbi,Arewa,201681.00,,,,,,,,,,,1.49,2.97,2.48,0.99,1.49,0.99,5.45
Kebbi,Birnin Kebbi,294165.00,,,,,,,,,2.04,0.34,,4.76,2.72,1.36,,,5.10
Kebbi,Bunza,133111.00,,,,,,,4.51,,12.77,11.27,,6.76,5.26,0.75,,,
Kebbi,Dandi,158111.00,,,,,,,2.53,,,,,,,8.22,4.43,2.53,
Kebbi,Kalgo,93594.00,,,,,,,,,,3.21,,8.55,3.21,,,,
Kebbi,Koko Bese,169434.00,,,,,,,,,,,,2.36,,,5.31,,
Kebbi,Maiyama,192537.00,,,,,,,,0.52,,,,3.64,,6.23,1.56,4.67,1.04
Kebbi,Suru,164639.00,,,,,,,,,,,,9.11,,,,,
Nasarawa,N/Eggoon,162957.00,,,,,,,,,6.14,0.61,,,,,,,
Niger,Magama,200819.00,,,1.00,1.00,0.50,2.99,,3.98,,3.98,4.48,3.49,2.49,5.48,,,
Niger,Mariga,220471.00,,,,,,,1.36,1.81,1.81,,,1.81,1.81,5.44,,,
